,date,team1,team2,daybefore,winrate
88,2021-07-07,Liiv Sandbox,DWG KIA,2021-07-06,31.3%
89,2021-07-04,DWG KIA,Gen.G eSports,2021-07-03,55.2%
90,2021-07-04,Gen.G eSports,DWG KIA,2021-07-03,44.8%
91,2021-07-04,NS RED FORCE,Hanwha Life Esports,2021-07-03,36.8%
92,2021-07-04,Hanwha Life Esports,NS RED FORCE,2021-07-03,63.2%
93,2021-07-03,Liiv Sandbox,DRX,2021-07-02,40%
94,2021-07-03,T1,Afreeca Freecs,2021-07-02,52.1%
95,2021-07-03,Afreeca Freecs,T1,2021-07-02,47.9%
96,2021-07-02,kt Rolster,Fredit BRION,2021-07-01,58.1%
97,2021-07-02,Fredit BRION,kt Rolster,2021-07-01,41.9%
98,2021-07-02,NS RED FORCE,DWG KIA,2021-07-01,0%
99,2021-07-01,Liiv Sandbox,Afreeca Freecs,2021-06-30,48.3%
100,2021-07-01,Afreeca Freecs,Liiv Sandbox,2021-06-30,51.7%
101,2021-07-01,DRX,Hanwha Life Esports,2021-06-30,50%
102,2021-07-01,Hanwha Life Esports,DRX,2021-06-30,50%
103,2021-06-30,Fredit BRION,Gen.G eSports,2021-06-29,40%
104,2021-06-30,Gen.G eSports,Fredit BRION,2021-06-29,60%
105,2021-06-30,kt Rolster,T1,2021-06-29,34.4%
106,2021-06-30,T1,kt Rolster,2021-06-29,65.6%
107,2021-06-27,kt Rolster,Liiv Sandbox,2021-06-26,48%
108,2021-06-27,Liiv Sandbox,kt Rolster,2021-06-26,52%
109,2021-06-27,DRX,T1,2021-06-26,41.3%
110,2021-06-26,NS RED FORCE,Fredit BRION,2021-06-25,100%
111,2021-06-26,Afreeca Freecs,Gen.G eSports,2021-06-25,36.8%
112,2021-06-25,DWG KIA,Hanwha Life Esports,2021-06-24,80%
113,2021-06-25,DRX,kt Rolster,2021-06-24,50%
114,2021-06-25,kt Rolster,DRX,2021-06-24,50%
115,2021-06-24,T1,NS RED FORCE,2021-06-23,70%
116,2021-06-24,Liiv Sandbox,Gen.G eSports,2021-06-23,37.5%
117,2021-06-23,Fredit BRION,DWG KIA,2021-06-22,33.3%
118,2021-06-23,DWG KIA,Fredit BRION,2021-06-22,66.7%
119,2021-06-23,Afreeca Freecs,Hanwha Life Esports,2021-06-22,44.3%
120,2021-06-23,Hanwha Life Esports,Afreeca Freecs,2021-06-22,55.7%
121,2021-06-20,Hanwha Life Esports,Fredit BRION,2021-06-19,73%
122,2021-06-20,Fredit BRION,Hanwha Life Esports,2021-06-19,27%
