,date,team1,team2,daybefore,twoweeks,winrate1,winrate2
295,2021-01-29,Hanwha Life Esports,DWG KIA,2021-01-28,2021-01-14,72.7%,66.7%
296,2021-01-29,DWG KIA,Hanwha Life Esports,2021-01-28,2021-01-14,66.7%,72.7%
297,2021-01-29,Afreeca Freecs,NS RED FORCE,2021-01-28,2021-01-14,33.3%,50%
298,2021-01-29,NS RED FORCE,Afreeca Freecs,2021-01-28,2021-01-14,50%,33.3%
299,2021-01-28,Liiv Sandbox,T1,2021-01-27,2021-01-13,40%,41.7%
300,2021-01-28,T1,Liiv Sandbox,2021-01-27,2021-01-13,41.7%,40%
301,2021-01-28,kt Rolster,DRX,2021-01-27,2021-01-13,50%,58.3%
302,2021-01-28,DRX,kt Rolster,2021-01-27,2021-01-13,58.3%,50%
303,2021-01-27,DWG KIA,Gen.G eSports,2021-01-26,2021-01-12,66.7%,70%
304,2021-01-27,Gen.G eSports,DWG KIA,2021-01-26,2021-01-12,70%,66.7%
305,2021-01-27,Fredit BRION,Hanwha Life Esports,2021-01-26,2021-01-12,25%,58.3%
306,2021-01-27,Hanwha Life Esports,Fredit BRION,2021-01-26,2021-01-12,58.3%,25%
307,2021-01-24,Gen.G eSports,Hanwha Life Esports,2021-01-23,2021-01-09,85.7%,55.6%
308,2021-01-24,Hanwha Life Esports,Gen.G eSports,2021-01-23,2021-01-09,55.6%,85.7%
309,2021-01-24,kt Rolster,T1,2021-01-23,2021-01-09,42.9%,44.4%
310,2021-01-24,T1,kt Rolster,2021-01-23,2021-01-09,44.4%,42.9%
311,2021-01-23,NS RED FORCE,Fredit BRION,2021-01-22,2021-01-08,37.5%,33.3%
312,2021-01-23,Fredit BRION,NS RED FORCE,2021-01-22,2021-01-08,33.3%,37.5%
313,2021-01-23,DWG KIA,Afreeca Freecs,2021-01-22,2021-01-08,57.1%,42.9%
314,2021-01-23,Afreeca Freecs,DWG KIA,2021-01-22,2021-01-08,42.9%,57.1%
315,2021-01-22,DRX,Liiv Sandbox,2021-01-21,2021-01-07,55.6%,42.9%
316,2021-01-22,Liiv Sandbox,DRX,2021-01-21,2021-01-07,42.9%,55.6%
317,2021-01-22,kt Rolster,Hanwha Life Esports,2021-01-21,2021-01-07,50%,50%
318,2021-01-22,Hanwha Life Esports,kt Rolster,2021-01-21,2021-01-07,50%,50%
319,2021-01-21,Fredit BRION,DWG KIA,2021-01-20,2021-01-06,0%,80%
320,2021-01-21,DWG KIA,Fredit BRION,2021-01-20,2021-01-06,80%,0%
321,2021-01-21,T1,Gen.G eSports,2021-01-20,2021-01-06,50%,100%
322,2021-01-21,Gen.G eSports,T1,2021-01-20,2021-01-06,100%,50%
323,2021-01-20,DRX,NS RED FORCE,2021-01-19,2021-01-05,50%,40%
324,2021-01-20,NS RED FORCE,DRX,2021-01-19,2021-01-05,40%,50%
325,2021-01-20,Afreeca Freecs,Liiv Sandbox,2021-01-19,2021-01-05,60%,20%
326,2021-01-20,Liiv Sandbox,Afreeca Freecs,2021-01-19,2021-01-05,20%,60%
327,2021-01-17,Fredit BRION,Afreeca Freecs,2021-01-16,2021-01-02,0%,33.3%
328,2021-01-17,Afreeca Freecs,Fredit BRION,2021-01-16,2021-01-02,33.3%,0%
329,2021-01-17,DWG KIA,NS RED FORCE,2021-01-16,2021-01-02,83.3%,33.3%
330,2021-01-17,NS RED FORCE,DWG KIA,2021-01-16,2021-01-02,33.3%,83.3%
331,2021-01-16,Hanwha Life Esports,DRX,2021-01-15,2021-01-01,33.3%,66.7%
332,2021-01-16,DRX,Hanwha Life Esports,2021-01-15,2021-01-01,66.7%,33.3%
333,2021-01-16,kt Rolster,Liiv Sandbox,2021-01-15,2021-01-01,0%,33.3%
334,2021-01-16,Liiv Sandbox,kt Rolster,2021-01-15,2021-01-01,33.3%,0%
335,2021-01-15,DWG KIA,T1,2021-01-14,2020-12-31,100%,66.7%
336,2021-01-15,T1,DWG KIA,2021-01-14,2020-12-31,66.7%,100%
337,2021-01-15,Gen.G eSports,Fredit BRION,2021-01-14,2020-12-31,100%,NAN%
338,2021-01-15,Fredit BRION,Gen.G eSports,2021-01-14,2020-12-31,NAN%,100%
339,2021-01-14,DRX,Afreeca Freecs,2021-01-13,2020-12-30,NAN%,NAN%
340,2021-01-14,Afreeca Freecs,DRX,2021-01-13,2020-12-30,NAN%,NAN%
341,2021-01-14,NS RED FORCE,Liiv Sandbox,2021-01-13,2020-12-30,0%,NAN%
342,2021-01-14,Liiv Sandbox,NS RED FORCE,2021-01-13,2020-12-30,NAN%,0%
343,2021-01-13,T1,Hanwha Life Esports,2021-01-12,2020-12-29,NAN%,NAN%
344,2021-01-13,Hanwha Life Esports,T1,2021-01-12,2020-12-29,NAN%,NAN%
345,2021-01-13,kt Rolster,Gen.G eSports,2021-01-12,2020-12-29,NAN%,NAN%
346,2021-01-13,Gen.G eSports,kt Rolster,2021-01-12,2020-12-29,NAN%,NAN%
