,date,team1,team2,daybefore,twoweeks,winrate1,winrate2
67,2021-07-17,Gen.G eSports,Hanwha Life Esports,2021-07-16,2021-07-02,33.3%,50%
68,2021-07-17,Hanwha Life Esports,Gen.G eSports,2021-07-16,2021-07-02,50%,33.3%
69,2021-07-16,DRX,Liiv Sandbox,2021-07-15,2021-07-01,30%,45.5%
70,2021-07-16,Afreeca Freecs,Fredit BRION,2021-07-15,2021-07-01,45.5%,25%
71,2021-07-16,Fredit BRION,Afreeca Freecs,2021-07-15,2021-07-01,25%,45.5%
72,2021-07-15,DWG KIA,NS RED FORCE,2021-07-14,2021-06-30,77.8%,70%
73,2021-07-15,kt Rolster,T1,2021-07-14,2021-06-30,54.5%,50%
74,2021-07-11,T1,NS RED FORCE,2021-07-10,2021-06-26,70%,50%
75,2021-07-11,NS RED FORCE,T1,2021-07-10,2021-06-26,50%,70%
76,2021-07-11,DRX,Gen.G eSports,2021-07-10,2021-06-26,30%,44.4%
77,2021-07-10,Hanwha Life Esports,DWG KIA,2021-07-09,2021-06-25,63.6%,70%
78,2021-07-10,Fredit BRION,kt Rolster,2021-07-09,2021-06-25,40%,53.8%
79,2021-07-10,kt Rolster,Fredit BRION,2021-07-09,2021-06-25,53.8%,40%
80,2021-07-09,Afreeca Freecs,Liiv Sandbox,2021-07-08,2021-06-24,30%,50%
81,2021-07-09,Liiv Sandbox,Afreeca Freecs,2021-07-08,2021-06-24,50%,30%
82,2021-07-09,T1,Gen.G eSports,2021-07-08,2021-06-24,50%,60%
83,2021-07-08,DRX,Fredit BRION,2021-07-07,2021-06-23,11.1%,50%
84,2021-07-08,Fredit BRION,DRX,2021-07-07,2021-06-23,50%,11.1%
85,2021-07-08,Hanwha Life Esports,kt Rolster,2021-07-07,2021-06-23,50%,60%
86,2021-07-08,kt Rolster,Hanwha Life Esports,2021-07-07,2021-06-23,60%,50%
87,2021-07-07,Afreeca Freecs,NS RED FORCE,2021-07-06,2021-06-22,50%,50%
88,2021-07-07,Liiv Sandbox,DWG KIA,2021-07-06,2021-06-22,58.3%,54.5%
89,2021-07-04,DWG KIA,Gen.G eSports,2021-07-03,2021-06-19,54.5%,75%
90,2021-07-04,Gen.G eSports,DWG KIA,2021-07-03,2021-06-19,75%,54.5%
91,2021-07-04,NS RED FORCE,Hanwha Life Esports,2021-07-03,2021-06-19,57.1%,50%
92,2021-07-04,Hanwha Life Esports,NS RED FORCE,2021-07-03,2021-06-19,50%,57.1%
93,2021-07-03,Liiv Sandbox,DRX,2021-07-02,2021-06-18,69.2%,0%
94,2021-07-03,T1,Afreeca Freecs,2021-07-02,2021-06-18,44.4%,50%
95,2021-07-03,Afreeca Freecs,T1,2021-07-02,2021-06-18,50%,44.4%
96,2021-07-02,kt Rolster,Fredit BRION,2021-07-01,2021-06-17,45.5%,46.2%
97,2021-07-02,Fredit BRION,kt Rolster,2021-07-01,2021-06-17,46.2%,45.5%
98,2021-07-02,NS RED FORCE,DWG KIA,2021-07-01,2021-06-17,42.9%,70%
99,2021-07-01,Liiv Sandbox,Afreeca Freecs,2021-06-30,2021-06-16,70%,44.4%
100,2021-07-01,Afreeca Freecs,Liiv Sandbox,2021-06-30,2021-06-16,44.4%,70%
101,2021-07-01,DRX,Hanwha Life Esports,2021-06-30,2021-06-16,11.1%,30%
102,2021-07-01,Hanwha Life Esports,DRX,2021-06-30,2021-06-16,30%,11.1%
103,2021-06-30,Fredit BRION,Gen.G eSports,2021-06-29,2021-06-15,50%,72.7%
104,2021-06-30,Gen.G eSports,Fredit BRION,2021-06-29,2021-06-15,72.7%,50%
105,2021-06-30,kt Rolster,T1,2021-06-29,2021-06-15,45.5%,50%
106,2021-06-30,T1,kt Rolster,2021-06-29,2021-06-15,50%,45.5%
107,2021-06-27,kt Rolster,Liiv Sandbox,2021-06-26,2021-06-12,60%,60%
108,2021-06-27,Liiv Sandbox,kt Rolster,2021-06-26,2021-06-12,60%,60%
109,2021-06-27,DRX,T1,2021-06-26,2021-06-12,11.1%,33.3%
110,2021-06-26,NS RED FORCE,Fredit BRION,2021-06-25,2021-06-11,63.6%,36.4%
111,2021-06-26,Afreeca Freecs,Gen.G eSports,2021-06-25,2021-06-11,66.7%,72.7%
112,2021-06-25,DWG KIA,Hanwha Life Esports,2021-06-24,2021-06-10,58.3%,22.2%
113,2021-06-25,DRX,kt Rolster,2021-06-24,2021-06-10,20%,45.5%
114,2021-06-25,kt Rolster,DRX,2021-06-24,2021-06-10,45.5%,20%
115,2021-06-24,T1,NS RED FORCE,2021-06-23,2021-06-09,55.6%,58.3%
116,2021-06-24,Liiv Sandbox,Gen.G eSports,2021-06-23,2021-06-09,55.6%,72.7%
117,2021-06-23,Fredit BRION,DWG KIA,2021-06-22,2021-06-08,40%,66.7%
118,2021-06-23,DWG KIA,Fredit BRION,2021-06-22,2021-06-08,66.7%,40%
119,2021-06-23,Afreeca Freecs,Hanwha Life Esports,2021-06-22,2021-06-08,60%,22.2%
120,2021-06-23,Hanwha Life Esports,Afreeca Freecs,2021-06-22,2021-06-08,22.2%,60%
121,2021-06-20,Hanwha Life Esports,Fredit BRION,2021-06-19,2021-06-05,0%,42.9%
122,2021-06-20,Fredit BRION,Hanwha Life Esports,2021-06-19,2021-06-05,42.9%,0%
123,2021-06-20,T1,Liiv Sandbox,2021-06-19,2021-06-05,71.4%,42.9%
124,2021-06-20,Liiv Sandbox,T1,2021-06-19,2021-06-05,42.9%,71.4%
125,2021-06-19,kt Rolster,Afreeca Freecs,2021-06-18,2021-06-04,50%,57.1%
126,2021-06-19,Afreeca Freecs,kt Rolster,2021-06-18,2021-06-04,57.1%,50%
127,2021-06-19,DRX,DWG KIA,2021-06-18,2021-06-04,25%,57.1%
128,2021-06-19,DWG KIA,DRX,2021-06-18,2021-06-04,57.1%,25%
129,2021-06-18,NS RED FORCE,Gen.G eSports,2021-06-17,2021-06-03,66.7%,75%
130,2021-06-18,Hanwha Life Esports,Liiv Sandbox,2021-06-17,2021-06-03,0%,20%
131,2021-06-18,Liiv Sandbox,Hanwha Life Esports,2021-06-17,2021-06-03,20%,0%
132,2021-06-17,Afreeca Freecs,DWG KIA,2021-06-16,2021-06-02,80%,40%
133,2021-06-17,DWG KIA,Afreeca Freecs,2021-06-16,2021-06-02,40%,80%
134,2021-06-17,Fredit BRION,T1,2021-06-16,2021-06-02,60%,60%
135,2021-06-17,T1,Fredit BRION,2021-06-16,2021-06-02,60%,60%
136,2021-06-16,kt Rolster,Gen.G eSports,2021-06-15,2021-06-01,60%,80%
137,2021-06-16,NS RED FORCE,DRX,2021-06-15,2021-06-01,66.7%,20%
138,2021-06-16,DRX,NS RED FORCE,2021-06-15,2021-06-01,20%,66.7%
139,2021-06-13,Afreeca Freecs,DRX,2021-06-12,2021-05-29,66.7%,33.3%
140,2021-06-13,DRX,Afreeca Freecs,2021-06-12,2021-05-29,33.3%,66.7%
141,2021-06-13,DWG KIA,kt Rolster,2021-06-12,2021-05-29,66.7%,33.3%
142,2021-06-13,kt Rolster,DWG KIA,2021-06-12,2021-05-29,33.3%,66.7%
143,2021-06-12,Hanwha Life Esports,Gen.G eSports,2021-06-11,2021-05-28,0%,66.7%
144,2021-06-12,Liiv Sandbox,NS RED FORCE,2021-06-11,2021-05-28,0%,66.7%
145,2021-06-12,NS RED FORCE,Liiv Sandbox,2021-06-11,2021-05-28,66.7%,0%
146,2021-06-11,DWG KIA,T1,2021-06-10,2021-05-27,NAN%,100%
147,2021-06-11,T1,DWG KIA,2021-06-10,2021-05-27,100%,NAN%
