,date,title,stage,team1,team2,win,top1,jg1,mid1,adc1,sup1,top2,jg2,mid2,adc2,sup2
449,2021.01.20,2021 LoL 챔피언스 코리아 스프링 정규 시즌,6일차 2경기 1세트,DRX,NS RED FORCE,L,DRX Kingen,DRX Pyosik,DRX SOLKA,DRX BAO,DRX Becca,NS Rich,NS Peanut,NS Bay,NS deokdam,NS Kellin
450,2021.01.20,2021 LoL 챔피언스 코리아 스프링 정규 시즌,6일차 1경기 2세트,Afreeca Freecs,Liiv Sandbox,L,AF Kiin,AF Dread,AF Fly,AF Bang,AF Lehends,LSB Summit,LSB Croco,LSB Fate,LSB Leo,LSB Effort
451,2021.01.20,2021 LoL 챔피언스 코리아 스프링 정규 시즌,6일차 1경기 1세트,Liiv Sandbox,Afreeca Freecs,W,LSB Summit,LSB Croco,LSB Fate,LSB Leo,LSB Effort,AF Kiin,AF Dread,AF Fly,AF Bang,AF Lehends
452,2021.01.17,2021 LoL 챔피언스 코리아 스프링 정규 시즌,5일차 2경기 2세트,Fredit BRION,Afreeca Freecs,L,BRO Hoya,BRO UmTi,BRO Lava,BRO Hena,BRO Delight,AF Kiin,AF Dread,AF Fly,AF Bang,AF Lehends
453,2021.01.17,2021 LoL 챔피언스 코리아 스프링 정규 시즌,5일차 2경기 1세트,Afreeca Freecs,Fredit BRION,W,AF Kiin,AF Dread,AF Fly,AF Bang,AF Lehends,BRO Hoya,BRO UmTi,BRO Lava,BRO Hena,BRO Delight
454,2021.01.17,2021 LoL 챔피언스 코리아 스프링 정규 시즌,5일차 1경기 2세트,DWG KIA,NS RED FORCE,W,DK Khan,DK Canyon,DK ShowMaker,DK Ghost,DK BeryL,NS Rich,NS Peanut,NS Bay,NS deokdam,NS Kellin
455,2021.01.17,2021 LoL 챔피언스 코리아 스프링 정규 시즌,5일차 1경기 1세트,NS RED FORCE,DWG KIA,L,NS Rich,NS Peanut,NS Bay,NS deokdam,NS Kellin,DK Khan,DK Canyon,DK ShowMaker,DK Ghost,DK BeryL
456,2021.01.16,2021 LoL 챔피언스 코리아 스프링 정규 시즌,4일차 2경기 3세트,Hanwha Life Esports,DRX,W,HLE Morgan,HLE Arthur,HLE Chovy,HLE Deft,HLE Vsta,DRX Kingen,DRX Pyosik,DRX SOLKA,DRX BAO,DRX Becca
457,2021.01.16,2021 LoL 챔피언스 코리아 스프링 정규 시즌,4일차 2경기 2세트,DRX,Hanwha Life Esports,W,DRX Kingen,DRX Pyosik,DRX SOLKA,DRX BAO,DRX Becca,HLE DuDu,HLE Arthur,HLE Chovy,HLE Deft,HLE Vsta
458,2021.01.16,2021 LoL 챔피언스 코리아 스프링 정규 시즌,4일차 2경기 1세트,Hanwha Life Esports,DRX,W,HLE DuDu,HLE Arthur,HLE Chovy,HLE Deft,HLE Vsta,DRX Kingen,DRX Pyosik,DRX SOLKA,DRX BAO,DRX Becca
459,2021.01.16,2021 LoL 챔피언스 코리아 스프링 정규 시즌,4일차 1경기 2세트,kt Rolster,Liiv Sandbox,W,KT Doran,KT Blank,KT Ucal,KT HyBrid,KT Zzus,LSB Summit,LSB Croco,LSB Fate,LSB Route,LSB Effort
460,2021.01.16,2021 LoL 챔피언스 코리아 스프링 정규 시즌,4일차 1경기 1세트,Liiv Sandbox,kt Rolster,L,LSB Summit,LSB Croco,LSB Fate,LSB Route,LSB Effort,KT Doran,KT Blank,KT Ucal,KT HyBrid,KT Zzus
461,2021.01.15,2021 LoL 챔피언스 코리아 스프링 정규 시즌,3일차 2경기 3세트,DWG KIA,T1,W,DK Khan,DK Canyon,DK ShowMaker,DK Ghost,DK BeryL,T1 Canna,T1 Ellim,T1 Faker,T1 Gumayusi,T1 Keria
462,2021.01.15,2021 LoL 챔피언스 코리아 스프링 정규 시즌,3일차 2경기 2세트,T1,DWG KIA,L,T1 Canna,T1 Ellim,T1 Faker,T1 Gumayusi,T1 Keria,DK Khan,DK Canyon,DK ShowMaker,DK Ghost,DK BeryL
463,2021.01.15,2021 LoL 챔피언스 코리아 스프링 정규 시즌,3일차 2경기 1세트,DWG KIA,T1,L,DK Khan,DK Canyon,DK ShowMaker,DK Ghost,DK BeryL,T1 Canna,T1 Ellim,T1 Faker,T1 Gumayusi,T1 Keria
464,2021.01.15,2021 LoL 챔피언스 코리아 스프링 정규 시즌,3일차 1경기 2세트,Gen.G eSports,Fredit BRION,W,GEN Rascal,GEN Clid,GEN BDD,GEN Ruler,GEN Life,BRO Hoya,BRO UmTi,BRO Lava,BRO Hena,BRO Delight
465,2021.01.15,2021 LoL 챔피언스 코리아 스프링 정규 시즌,3일차 1경기 1세트,Fredit BRION,Gen.G eSports,L,BRO Hoya,BRO UmTi,BRO Lava,BRO Hena,BRO Deligh,GEN Rascal,GEN Clid,GEN BDD,GEN Ruler,GEN Life
466,2021.01.14,2021 LoL 챔피언스 코리아 스프링 정규 시즌,2일차 2경기 3세트,DRX,Afreeca Freecs,W,DRX Kingen,DRX Pyosik,DRX SOLKA,DRX BAO,DRX Becca,AF Kiin,AF Dread,AF Fly,AF Bang,AF Lehends
467,2021.01.14,2021 LoL 챔피언스 코리아 스프링 정규 시즌,2일차 2경기 2세트,Afreeca Freecs,DRX,W,AF Kiin,AF Dread,AF Fly,AF Bang,AF Lehends,DRX Kingen,DRX Pyosik,DRX SOLKA,DRX BAO,DRX Becca
468,2021.01.14,2021 LoL 챔피언스 코리아 스프링 정규 시즌,2일차 2경기 1세트,DRX,Afreeca Freecs,W,DRX Kingen,DRX Pyosik,DRX SOLKA,DRX BAO,DRX Becca,AF Kiin,AF Dread,AF Fly,AF Bang,AF Lehends
469,2021.01.14,2021 LoL 챔피언스 코리아 스프링 정규 시즌,2일차 1경기 3세트,NS RED FORCE,Liiv Sandbox,W,NS Rich,NS Peanut,NS Bay,NS deokdam,NS Kellin,LSB Summit,LSB Croco,LSB Fate,LSB Route,LSB Effort
470,2021.01.14,2021 LoL 챔피언스 코리아 스프링 정규 시즌,2일차 1경기 2세트,Liiv Sandbox,NS RED FORCE,W,LSB Summit,LSB Croco,LSB Fate,LSB Route,LSB Effort,NS Rich,NS Peanut,NS Bay,NS deokdam,NS Kellin
471,2021.01.14,2021 LoL 챔피언스 코리아 스프링 정규 시즌,2일차 1경기 1세트,NS RED FORCE,Liiv Sandbox,W,NS Rich,NS Peanut,NS Bay,NS deokdam,NS Kellin,LSB Summit,LSB Croco,LSB Fate,LSB Route,LSB Effort
472,2021.01.13,2021 LoL 챔피언스 코리아 스프링 정규 시즌,1일차 2경기 3세트,T1,Hanwha Life Esports,W,T1 Canna,T1 Ellim,T1 Clozer,T1 Gumayusi,T1 Keria,HLE Morgan,HLE Arthur,HLE Chovy,HLE Deft,HLE Vsta
473,2021.01.13,2021 LoL 챔피언스 코리아 스프링 정규 시즌,1일차 2경기 2세트,Hanwha Life Esports,T1,W,HLE Morgan,HLE Arthur,HLE Chovy,HLE Deft,HLE Vsta,T1 Canna,T1 Ellim,T1 Clozer,T1 Gumayusi,T1 Keria
474,2021.01.13,2021 LoL 챔피언스 코리아 스프링 정규 시즌,1일차 2경기 1세트,T1,Hanwha Life Esports,W,T1 Canna,T1 Ellim,T1 Clozer,T1 Gumayusi,T1 Keria,HLE Morgan,HLE Arthur,HLE Chovy,HLE Deft,HLE Vsta
475,2021.01.13,2021 LoL 챔피언스 코리아 스프링 정규 시즌,1일차 1경기 2세트,kt Rolster,Gen.G eSports,L,KT Doran,KT Bonnie,KT Ucal,KT HyBrid,KT Zzus,GEN Rascal,GEN Clid,GEN BDD,GEN Ruler,GEN Life
476,2021.01.13,2021 LoL 챔피언스 코리아 스프링 정규 시즌,1일차 1경기 1세트,Gen.G eSports,kt Rolster,W,GEN Rascal,GEN Clid,GEN BDD,GEN Ruler,GEN Life,KT Doran,KT Bonnie,KT Ucal,KT HyBrid,KT Zzus
